ID,Size,Source,Type,Target,Citation,Signficance
26,1,Valerius Asiaticus,has martial or adversarial interaction with,Poppaea,11.01,former lover
162,1,Messalina,has martial or adversarial interaction with,Valerius Asiaticus,11.01,successful imprisonment
245,1,Claudius,sends written communication to,Crispinus,11.01,sends to baiae
259,1,Crispinus,has martial or adversarial interaction with,Valerius Asiaticus,11.01,imprisons valerius
310,1,Sosibius,"has peaceful, familial or conversational interaction with",Britannicus,11.01,tutored
314,1,Sosibius,"has peaceful, familial or conversational interaction with",Suillius,11.01,associates
338,1,Sosibius,is a group member of,Tutors,11.01,Is a tutor for Britannicus
347,1,Suillius,is a group member of,Tutors,11.01,Is a tutor
349,1,Sosibius,"has peaceful, familial or conversational interaction with",Claudius,11.01,"He spreads rumors about Valerius Asiaticus, and warns Claudius"
428,1,Valerius Asiaticus,has martial or adversarial interaction with,Gaius Caesar,11.01,main cause of gaius caesar's death
405,1,scipio,"has peaceful, familial or conversational interaction with",Claudius,11.02,told claudius of poppaea's death
391,1,Claudius,"has peaceful, familial or conversational interaction with",Valerius Asiaticus,11.03,compassionate before planned execution
357,1,Sosibius,participates in,senate awards funds,11.04,exemplifies claudius' influence on senate
369,1,Crispinus,participates in,senate awards funds,11.04,exemplifies claudius' influence on senate
101,1,Samius,"has peaceful, familial or conversational interaction with",Suillius,11.05,Samius gives money to Suillius
177,1,Cincian Law,,Suillius,11.05,Gaius Silius is prosecuting Suillius using this law
153,1,Gaius Silius,has martial or adversarial interaction with,Suillius,11.06,Gaius Silius is prosecuting Suillius
213,1,Suillius,"has peaceful, familial or conversational interaction with",Claudius,11.06,Suillius begs for pardon for his past actions
267,1,Publius Clodius,"has peaceful, familial or conversational interaction with",Claudius,11.07,Also begs for his pardon. Claudius changes the law
283,1,Cincian Law,has martial or adversarial interaction with,Publius Clodius,11.07,Prosecuted with this law
299,1,Claudius,participates in,Cincian Law,11.07,Changes the law so that limited fees can be accepted
6,1,Claudius,"has peaceful, familial or conversational interaction with",Nero,11.11,Claudius adopts Lucius Domitius (aka Nero); Nero is placed as heir above Claudius's own biological son (12:25)
431,1,Britannicus,participates in,Secular Games,11.11,"Put on the ""Game of Troy"", in the Circus."
32,2,Germanicus,"has peaceful, familial or conversational interaction with",Nero,11.12,Nero was Germanicus' sole male descendant
