Degrees,Label,Type,Significance
1,Accusations leveled against Agrappina,Event,"A group of people leveled accusations against Agrappina, trying to turn Nero against her and bring her down."
1,Acerronia,Woman,Female slave of Agrippina
1,Acte,Woman,Freedwoman that Nero had an affair with.
3,Adultery,Thing,a common thread
3,Aedui,Group,One of the prominent Gallic Tribes
3,Aemilius Mamercus,Man,One of two Quaestors elected sixty-three years after founding of the Republic
4,Afranius Burrus,Man,Advised Nero during his youth on military and moral matters. Disagreed with Agrippina on the succession of Claudius.
2,Agrippa,Man,Grandfather of Agrippina
43,Agrippina,Woman,Nero’s mother and Claudius’ last wife
3,Alledius Severus,Man,The uncle of Agrippina
2,Alphabet,Thing,13.28
4,Anicetus,Man,Asked to kill Agrippina
5,Annaeus Seneca,Man,Adviser to Nero in his youth with his oratorical and cordiality skills
2,Antonia,Woman,Sister of Britannicus
1,Appius,Man,Assassinated by Narcissus
2,Armenia,Place,Governed by Domitius Corbulo
1,Asconius Labeo,Man,The guardian of Nero.
1,Atimetus,Man,Freedman of Domitia.
3,Augustus,Man,"Former Roman emperor, deified."
12,Britannicus,Man,Nero’s brother from another mother
2,Byzantium,Place,City founded by Greeks with fertile soil and prosperous seas
2,Cadmus,Man,learns language
3,Callistus,Man,assasinated Gaius Caesar
4,Calpurnia,Woman,Prostitute
3,Cincian Law,Thing,Forbade the acceptance of money or a gift for pleading a case
44,Claudius,Man,
2,Cleopatra,Man,Was with Claudius when Calpurnia notified of the marriage between Messalina and Silius
1,Cotta Messalinus,Man,Great Uncle of Lollia
1,Creditors,Group,13.25
1,Crepereius Gallus,Man,Male slave to Agrippina; killed during Nero’s assassination attempt.
3,Crispinus,Man,praetorian guard
3,Domitia,Woman,
6,Domitius Corbulo,Man,Responsible for the military campaign in Armenia.
1,Egyptian Equestrians,Group,Claudius surrendered the legal system to them
1,Euodus,Man,In charge of overseeing Messalina’s death.
3,Exiled,Event,
2,Gaius Caesar,Man,Former emperor
1,Gaius Pompeius,Man,Consul of Rome
7,Gaius Silius,Man,"best-looking of rome’s young men, Messalina liked him. Having affair with Messalina."
2,Garden of Lucullus,Place,Where Messalina goes to hide from her executors.
3,Germanicus,Man,
1,Gnaeus Domitius,Man,Nero’s father.
1,Gnaeus Nonius,Man,Knight; possibly tried to assassinate the Emperor
1,Halotus,Man,Taster for imperial dinners. But is aware of the intended poisoning of Cladius.
3,Helius,Man,Roman freedman
1,Herculeius,Man,trierarch
1,Insteius,Man,Centurion appointed by Ummiduis.
2,Julius Pollio,Man,Tribune of a praetorian cohort.
3,Junia Calvina,Woman,Attractive and precocious
5,Junia Silana,Woman,Girlfriend of Agrippina. Noblewoman of Rome. Formerly married to Gaius Silius.
1,Junius Lupus,Man,Senator
5,Junius Silanus,Man,Proconsul of Asia. Killed by Agrippina. Was preferred over Nero.
1,King Vologaeses,Man,"He chose peace over war, supported Rome by supplying them hostages, and put the leading members of the Arsacid house in the Roman’s hands. King of Parthia."
6,Lepida,Woman,"Wife of Claudius, daughter of Antonia, and rival to Agrippina"
1,Livia,Woman,Great-Grandmother of Agrippina
4,Locusta,Woman,Made the poison that killed Claudius
6,Lollia Paulina,Woman,Wife candidate for Claudius after the murder of Messalina. She had no children so she was the most ideal candidate.
6,Lucius Silanus,Man,Brother of Junius Silanus. A praetor.
1,Lucius Volusius,Man,The uncle of Lollia
1,Lusius Geta,Man,Command of the Praetorians
2,Marriage,Event,
1,Memmius Regulus,Man,Ex-husband of Lollia
20,Messalina,Woman,in the midst of adulterous affair. Third wife of Claudius.
,Mnester,Man,Actor that Messalina had affections for.
1,Murder of Agrippina,Event,Penalty for crime she committed
10,Narcissus,Man,engineered the murder of Appius
28,Nero,Man,"Lucius Domitius, Emperor of Rome"
,Nero,Man,Senators support Nero’s effort to disallow the pleading of a case for payment or gifts & that Quaestors-designate would not be obliged to give gladatorial shows
1,Nero Hailed as Emperor,Event,Nero became Emperor 13th October 54AD
1,New Patrician Families,Event,Claudius admitted more affluent families into the ranks of the Patricians
1,Obaritus,Man,a centurian of the marines
